Id,SalePrice
1461,117429.760221879
1462,154600.8705488075
1463,184191.38973277566
1464,199418.3421225486
1465,196269.27829101507
1466,171061.5276296969
1467,177627.64924486185
1468,158989.5613896493
1469,196682.80716967434
1470,118849.39928954195
1471,188291.42489036827
1472,99289.21273211791
1473,95284.04517619906
1474,142862.00393909324
1475,105614.69923710026
1476,365772.3810135929
1477,244141.4429819562
1478,291621.6360762158
1479,292304.11532164045
1480,501215.06788381096
1481,327029.4698187323
1482,207197.84957771184
1483,181425.5410926402
1484,157639.25119534764
1485,189709.42338412313
1486,194716.5046709998
1487,331072.8533380929
1488,231829.21182261652
1489,189763.81184649878
1490,240605.36934568643
1491,195299.8691147343
1492,93692.55553355749
1493,184047.97261883673
1494,285071.7781286711
1495,289443.5455650976
1496,232424.20158598735
1497,182157.9237108138
1498,171783.71967004612
1499,163615.17361047925
1500,156422.02350113352
1501,177486.72619579622
1502,146345.6329988866
1503,290832.0913557837
1504,239258.74987576125
1505,224803.75311710147
1506,193187.58509353874
1507,249473.80708849142
1508,199176.81698230558
1509,160389.51831808136
1510,142723.12531208605
1511,153197.32221860965
1512,178998.6930764325
1513,148819.81879990612
1514,158756.46160261426
1515,198607.11016933658
1516,156977.3142940085
1517,173805.649087804
1518,132906.5385790641
1519,209660.65771335445
1520,125521.86106886376
1521,130825.8953222315
1522,180991.2743631228
1523,112586.65127145493
1524,124957.0552110322
1525,119788.60057661413
1526,110471.77800404307
1527,107134.92586772398
1528,140369.77744972918
1529,149742.41965040565
1530,185641.0632679106
1531,103917.55743691558
1532,97143.18155823644
1533,149258.86569558692
1534,126350.86467500258
1535,152604.48458179744
1536,108797.42388040881
1537,56527.25484364904
1538,145776.1859927537
1539,181659.06353036902
1540,92135.81274247807
1541,137666.27240745383
1542,145694.04172478593
1543,187693.83324188678
1544,87771.11565745856
1545,117686.47522887304
1546,133737.6002720817
1547,129897.1220598105
1548,139522.5997289665
1549,120618.0252633274
1550,132104.653381792
1551,106591.57751869065
1552,134410.5061534692
1553,147572.10208953262
1554,118413.71537496931
1555,159492.6945001706
1556,82428.86149546034
1557,108378.68419987916
1558,101880.4799215683
1559,56418.24996660366
1560,129732.23814032503
1561,127446.60360359371
1562,127705.7978334753
1563,119555.90107757869
1564,154287.17180488975
1565,152707.00939439563
1566,237901.7600650029
1567,77864.90157436147
1568,230031.2823929812
1569,126673.56028724571
1570,133282.53482255575
1571,122592.47933472811
1572,143243.3120733923
1573,240763.70903377587
1574,120161.16412013603
1575,234049.09285598504
1576,250030.991523038
1577,176430.62539213963
1578,144856.534089071
1579,146601.35415990977
1580,195360.40781971067
1581,152942.606066487
1582,122654.05563178707
1583,293580.59323445184
1584,214495.32067079228
1585,134241.2887029546
1586,69425.37058585526
1587,103264.89957747413
1588,153892.7927118426
1589,97669.96398752701
1590,134425.16488751333
1591,92145.24284980592
1592,118594.98010991311
1593,123281.79344353844
1594,125628.22350067251
1595,103084.11243587136
1596,225569.05037738723
1597,196292.0820867038
1598,232619.92909704804
1599,162082.69517509043
1600,154030.84643450574
1601,68089.46266533507
1602,116782.09671886761
1603,67999.98529861914
1604,263868.0837424702
1605,239581.28673211497
1606,167630.3727224063
1607,179904.24627537225
1608,215682.45604668822
1609,180111.00911267905
1610,151161.95953776324
1611,138654.07613657144
1612,171687.4231560063
1613,163424.40610932742
1614,125667.72165048755
1615,96435.1042097863
